Name,Allegiances,died,Gender,Nobility
Gysella Goodbrother,Greyjoy,0,0,1
Haggo,None,1,1,0
Hairy Hal,Night's Watch,1,1,0
Hake,Night's Watch,1,1,0
Halder,Night's Watch,0,1,0
Haldon,House Targaryen,0,1,0
Hali,Wildling,1,0,0
Hallis Mollen,Stark,0,1,1
Hallyne,Lannister,0,1,0
Halys Hornwood,Stark,1,1,1
Hamish the Harper,None,1,1,0
Hareth (Mole's Town),Night's Watch,0,1,0
Harghaz,None,1,1,0
Harma,Wildling,1,0,1
Harmund Sharp,Greyjoy,0,1,1
Harmune,Night's Watch,0,1,0
Harra,None,1,0,0
Harrag Sharp,Greyjoy,1,1,1
Harras Harlaw,Greyjoy,0,1,1
Harwood Fell,House Baratheon,1,1,1
Hazzea,None,1,0,0
Harrion Karstark,Stark,0,1,1
Harry Strickland,None,0,1,0
Harwin,Stark,0,1,0
Harwood Stout,Stark,0,1,1
Harys Haigh,None,0,1,1
Harys Swyft,Lannister,0,1,1
Helman Tallhart,Stark,1,1,1
Henly (Maester),None,0,1,0
Heward,House Stark,1,1,0
High Sparrow,None,0,1,0
Hobb,Night's Watch,0,1,0
Hobber Redwyne,Tyrell,0,1,1
Hod,None,0,1,0
Hodor,House Stark,0,1,0
Holger,None,0,1,0
Holly,Wildling,1,0,0
Hop-Robin,Night's Watch,0,1,0
Horas Redwyne,Tyrell,0,1,1
Horton Redfort,Arryn,0,1,1
Hosteen Frey,None,0,1,1
Hoster Tully,House Tully,1,1,1
Hot Pie,None,0,1,0
Hother Umber,Stark,0,1,1
Howd Wanderer,Wildling,0,1,1
Hubard Rambton,Baratheon,1,1,1
Hugh,House Arryn,1,1,0
Hugo Vance,Tully,0,1,1
Hullen,House Stark,1,1,0
Humfrey Swyft,Lannister,0,1,1
Husband,None,0,1,0
Hyle Hunt,None,1,1,1
Iggo,None,1,1,0
Illyrio Mopatis,House Targaryen,0,1,1
Ilyn Payne,Lannister,0,1,1
Imry Florent,Baratheon,1,1,1
Iron Emmett,Night's Watch,0,1,0
Irri,House Targaryen,0,0,0
Ithoke,None,0,1,0
Jacelyn Bywater,Lannister,1,0,1
Jack Bulwer,Night's Watch,1,1,0
Jack-Be-Lucky,None,0,1,0
Jacks,House Stark,0,1,0
Jaggot,None,0,1,0
Jaime Lannister,Lannister,0,1,1
Jalabhar Xho,None,0,1,1
Janna Tyrell,Tyrell,0,0,1
Janos Slynt,None,1,1,1
Jaqen H'ghar,None,0,1,0
Jared Frey,None,1,1,1
Jaremy Rykker,Night's Watch,1,1,1
Jarl,Wildling,1,1,0
Jarman Buckwell,Night's Watch,1,1,0
Jason Mallister,Stark,0,1,1
Jate,House Lannister,0,1,0
Jate Blackberry,House Baratheon,0,1,0
Jeor Mormont,Night's Watch,1,1,1
Jeren,Night's Watch,0,1,0
Jeyne Poole,Stark,0,0,1
Jeyne Westerling,Stark,0,0,1
Jhaqo,None,0,1,1
Jhezane,None,0,0,1
Jhiqui,House Targaryen,0,0,0
Jhogo,House Targaryen,0,1,0
Jocelyn Swyft,Lannister,0,0,1
Jodge,House Lannister,0,1,0
Jojen Reed,Stark,0,1,1
Jommy,House Baratheon,0,1,0
Jon Bettley,Lannister,0,1,1
Jon Connington,Targaryen,0,1,1
Jon Fossoway,Baratheon,0,1,1
Jon Snow,Night's Watch,0,1,1
Jon Umber (Greatjon),Stark,0,1,1
Joffrey Baratheon,House Lannister,1,1,1
Jon Umber (Smalljon),Stark,1,1,1
Jonelle Cerwyn,Stark,0,0,1
Jonos Bracken,Tully,0,1,1
Jorah Mormont,Targaryen,0,1,1
Jory Cassel,Stark,1,1,1
Joseran,Greyjoy,0,1,0
Joseth,House Stark,0,1,0
Josmyn Peckledon,Lannister,0,1,0
Joss,None,0,1,0
Joss Stilwood,Lannister,0,1,0
Josua Willum,Baratheon,0,1,1
Jothos Slynt,Lannister,0,1,1
Joyeuse Erenford,None,0,0,1
Justin Massey,Baratheon,0,1,1
Jyck,House Lannister,1,1,0
Jynessa Blackmont,Martell,0,0,1
Karyl Vance,Tully,0,1,1
Kedge Whiteye,Night's Watch,0,1,0
Kella,None,0,0,0
Kennos of Kayce,Lannister,0,1,1
Ketter,Night's Watch,0,1,0
Kenned,House Greyjoy,1,1,0
Kerwin,House Tyrell,1,1,0
Kevan Lannister,House Lannister,1,1,1
Kezmya,None,0,0,1
Khorane Sathmantes,None,0,1,0
Khrazz,None,1,1,0
Kindly man,None,0,1,0
Kojja Mo,None,0,0,0
Koss,Night's Watch,1,1,0
Kraznys mo Nakloz,None,1,1,1
Kromm,House Greyjoy,1,1,0
Kurleket,None,1,1,0
Kurz,Night's Watch,1,1,0
Kyle (Banners),None,1,1,0
Kyra,House Stark,1,0,0
Lady of the Leaves,None,0,0,0
Lambert Turnberry,Lannister,0,1,1
Lamprey,Baratheon,0,1,0
Lancel Lannister,Lannister,0,1,1
Lanna (Happy Port),None,0,0,0
Lark,Night's Watch,1,1,0
Larra Blackmont,Martell,0,0,1
Larraq,Targaryen,0,1,0
Leathers,Night's Watch,0,1,0
Left Hand Lew,Night's Watch,0,1,0
Lem,None,0,1,0
Lennocks,None,0,1,0
Lenwood Tawney,Greyjoy,0,1,0
Leo Lefford,Lannister,1,1,1
Leo Tyrell,Tyrell,0,1,1
Leobald Tallhart,Stark,1,1,1
Leona Woolfield,Stark,0,0,1
Leonette Fossoway,Tyrell,0,0,1
Lew,House Stark,0,1,0
Lewis Lanster,None,0,1,0
Lewys Lydden,Lannister,0,1,1
Lewys Piper,Lannister,0,1,1
Lharys,Stark,1,1,1
Little Walder Frey,None,1,1,1
Lollys Stokeworth,Lannister,0,0,1
Lommy,Night's Watch,1,1,0
Loras Tyrell,Tyrell,0,1,1
Lorcas,None,0,1,0
Lord of Bones,Wildling,1,1,1
Lorent Caswell,Baratheon,0,1,1
Lorren,Greyjoy,1,1,0
Lothar Frey,None,0,1,1
Lothor Brune,None,0,1,1
Lucan,None,1,1,0
Lucas Blackwood,Tully,1,1,1
Lucas Codd,Greyjoy,0,1,1
Lucias Vypren,None,0,1,1
Luco Prestayn,None,0,1,0
Luke of Longtown,Night's Watch,0,1,0
Luton,None,1,1,0
Luwin,House Stark,1,1,0
Lyle Crakehall,Lannister,0,1,1
Lyman Darry,Tully,1,1,1
Lymond Goodbrook,Tully,0,1,1
Lymond Lychester,Tully,0,1,1
Lyn Corbray,Arryn,0,1,1
Lyonel,None,0,1,0
Lysa Tully,House Arryn,1,0,1
Lysono Maar,None,0,1,0
Mace Tyrell,House Tyrell,0,1,1
Mad Huntsman,None,0,1,0
Maege Mormont,Stark,0,0,1
Maerie (Goodwife),None,1,0,0
Maerie (Whore),None,1,0,0
Mag Mar Tun Doh Weg,Wildling,1,1,1
Mago,None,0,1,0
Mallador Locke,Night's Watch,1,1,0
Malliard,Lannister,0,1,0
Mallor,House Lannister,0,1,0
Mance Rayder,Wildling,0,1,1
Mandon Moore,Baratheon,1,1,1
Maric Seaworth,House Baratheon,1,1,1
Marei,None,0,0,0
Margaery Tyrell,House Tyrell,0,0,1
Marillion,Arryn,1,1,0
Maris,Wildling,0,0,0
Marissa Frey,None,0,0,1
Mariya Darry,None,0,0,1
Mark Mullendore,Tully,0,1,1
Marlon Manderly,Stark,0,1,1
Maron Volmark,Greyjoy,0,1,1
Marq Piper,Tully,0,1,1
Martyn Rivers,None,0,1,1
Marwyn,None,0,1,0
Marwyn Belmore,Arryn,0,1,1
Masha Heddle,Tully,1,0,0
Maslyn,Night's Watch,1,1,0
Mathis Rowan,Lannister,0,1,1
Mathos Mallarawan,None,0,1,1
Matrice,Baratheon,0,0,0
Matthos Seaworth,Baratheon,1,1,1
Matthar,Night's Watch,0,1,0
Mawney,Night's Watch,1,1,0
Mebble,None,0,1,0
Medger Cerwyn,Stark,1,1,1
Meera Reed,Stark,0,0,1
Megga Tyrell,House Tyrell,0,0,1
Meha,Wildling,0,0,0
Mela,House Arryn,0,0,0
Meldred Merlyn,Greyjoy,0,1,1
Meliana,Stark,0,0,0
Melisandre,Baratheon,0,0,0
Mellei,House Martell,0,0,0
Melly,None,0,0,0
Meredyth Crane,Tyrell,0,0,1
Meribald,None,0,1,0
Merlon Crakehall,Lannister,0,1,1
Mero,None,1,1,0
Merrett Frey,None,1,1,1
Meryn Trant,Lannister,0,1,1
Mezzara,None,0,0,1
Mikken,House Stark,1,1,0
Miklaz,None,0,1,1
Mirri Maz Duur,None,1,0,0
Missandei,House Targaryen,0,0,0
Mohor,None,1,1,1
Mollander,None,0,1,0
Monford Velaryon,Baratheon,1,1,1
Monster,Wildling,0,1,0
Moon Boy,Baratheon,0,1,0
Moqorro,Greyjoy,0,1,0
Mord,House Arryn,0,1,0
Mordane,House Stark,1,0,0
Moreo Tumitis,None,0,1,0
Morgarth,None,0,1,0
Morna White Mask,Wildling,0,0,1
Moro,None,0,1,1
Morra,House Martell,0,0,0
Morrec,House Lannister,1,1,0
Morros Slynt,Lannister,0,1,1
Mors Manwoody,Martell,0,1,1
Mors Umber,Stark,0,1,1
Morton Waynwood,Arryn,0,1,1
Mudge (miller),None,1,1,0
Mully,Night's Watch,0,1,0
Munciter,Lannister,0,1,0
Murch,Night's Watch,0,1,0
Murch (Winterfell),House Stark,0,1,0
Mossador,House Targaryen,1,1,0
Murenmure,Greyjoy,0,1,0
Muttering Bill,Night's Watch,1,1,0
Mya Stone,Arryn,0,0,0
Mycah,Stark,1,1,0
Myles,House Martell,0,1,0
Myles Manwoody,Martell,0,1,1
Myranda Royce,Arryn,0,0,1
Myrcella Baratheon,Lannister,0,0,1
Myria Jordayne,Martell,0,0,0
Myrtle,Wildling,1,0,0
Nage,None,0,1,0
Myles,House Tully,1,1,0
Nan,House Stark,0,0,0
Narbert,None,0,1,0
Nestor Royce,Arryn,0,1,1
Nolla,None,1,0,0
Norjen,Greyjoy,0,1,0
Nurse,None,1,1,0
Notch,None,0,1,0
Nute,House Greyjoy,0,1,0
Nymella Toland,Martell,0,0,1
Nymeria Sand,House Martell,0,0,1
Obara Sand,House Martell,0,0,1
Oberyn Martell,House Martell,1,1,1
Ogo,None,1,1,1
Old Henly,Night's Watch,1,1,0
Olenna Redwyne,Tyrell,0,0,1
Ollo Lophand,Night's Watch,1,1,0
Olyvar Frey,None,0,1,1
Ondrew Locke,Stark,0,1,1
Oppo,None,1,1,0
Orell,Wildling,1,1,0
Orphan Oss,Night's Watch,1,1,0
Orton Merryweather,Lannister,0,1,1
Osfryd Kettleblack,Lannister,0,1,1
Osha,House Stark,0,0,0
Osmund Kettleblack,Lannister,0,1,1
Osney Kettleblack,Lannister,0,1,1
Ossy,Arryn,0,1,0
Oswell Kettleblack,None,0,1,1
Othell Yarwyck,Night's Watch,0,1,0
Ottyn Wythers,Night's Watch,1,1,0
Owen,Night's Watch,0,1,0
Owen Norrey,Tully,1,1,1
Oznak zo Pahl,None,1,1,1
Palla,House Stark,0,0,0
Parmen Crane,Baratheon,0,1,1
Patchface,Baratheon,0,1,0
Pate (novice),None,1,1,0
Pate (Lancewood),None,1,1,0
Pate (Night's Watch),Night's Watch,0,1,0
Pate (Old),None,0,1,0
Patrek of King's Mountain,Baratheon,1,1,1
Patrek Mallister,Tully,0,1,1
Paxter Redwyne,Tyrell,0,1,1
Pello,None,0,1,0
Penny,None,0,0,0
Perros Blackmont,Martell,0,1,1
Perwyn Frey,None,0,1,1
Petyr Baelish,None,0,1,0
Petyr Frey,None,1,1,1
Philip Foote,Lannister,0,1,1
Pia,None,0,0,0
Podrick Payne,Lannister,0,1,1
Polliver,None,1,1,0
Pono,None,0,1,1
Porridge,Baratheon,0,1,0
Porther,House Stark,1,1,0
Poul Pemford,House Tully,1,1,0
Poxy Tym,House Stark,1,1,0
Praed,None,1,1,0
Prendahl na Ghezn,None,1,1,0
Preston Greenfield,Baratheon,1,1,0
Pyat Pree,None,0,1,1
Pycelle,House Lannister,1,1,0
Pyg,None,1,1,0
Pylos,Baratheon,0,1,0
Pypar,Night's Watch,0,1,0
Qarl Shepherd,Greyjoy,0,1,0
Qarl the Maid,Greyjoy,0,1,0
Qezza,None,0,0,0
Qhorin Halfhand,Night's Watch,1,1,0
Qotho,None,1,1,0
Quaithe,None,0,0,1
Quaro,Targaryen,1,1,0
Quellon Humble,Greyjoy,0,1,1
Quent,House Stark,0,1,0
Quenten Banefort,Lannister,0,1,1
Quentyn Martell,Martell,1,1,1
Quhuru Mo,None,0,1,0
Qyburn,Lannister,0,1,0
Quort,Wildling,1,1,0
Qyle,Night's Watch,1,1,0
Rafford,None,0,1,0
Ragnor Pyke,House Greyjoy,0,1,0
Ragwyle,Wildling,0,0,0
Rakharo,House Targaryen,0,1,0
Ralf Kenning,Greyjoy,1,1,0
Ralf Stonehouse,Greyjoy,0,1,1
Ralf the Limper,Greyjoy,0,1,0
Ramsay Snow,None,0,1,1
Randa,None,1,0,0
Randyll Tarly,Tyrell,0,1,1
Rast,Night's Watch,1,1,0
Ravella Swann,Tully,0,0,1
Raymar Royce,Arryn,0,1,1
Raymun Darry,Targaryen,1,1,1
Raymund Frey,None,0,1,1
Raynald Westerling,Stark,1,1,1
Red Alyn,Night's Watch,1,1,0
Red Rolfe,House Greyjoy,1,1,0
Reek,None,1,1,0
Renly Baratheon,House Baratheon,1,1,1
Reysen,Night's Watch,0,1,0
Reznak mo Reznak,None,0,1,1
Rhaegar Frey,None,1,1,1
Rhogoro,None,0,1,1
Ricasso,House Martell,0,1,0
Richard Horpe,Baratheon,0,1,1
Rickard Karstark,Stark,1,1,1
Rickard Ryswell,Stark,0,1,1
Rickon Stark,House Stark,0,1,1
Rigney,None,0,1,0
Robar Royce,Baratheon,1,1,1
Robb Stark,House Stark,1,1,1
Robert Baratheon,House Baratheon,1,1,1
Robert Arryn,House Arryn,0,1,1
Robett Glover,Stark,0,1,1
Robin Flint,Stark,1,1,1
Robin Moreland,Lannister,0,1,1
Robin Ryger,Tully,0,1,1
Rodrik Cassel,Stark,1,1,1
Rodrik Harlaw,Greyjoy,0,1,1
Rodrik Ryswell,None,0,1,1
Roger Hogg,Lannister,0,1,1
Roger Ryswell,Stark,0,1,1
Roland Crakehall (Lord),Lannister,0,1,1
Rolder,House Lannister,0,1,0
Rolfe,Greyjoy,0,1,0
Rollam Westerling,Stark,0,1,1
Rolfe the Dwarf,House Greyjoy,1,1,0
Rolley,Night's Watch,1,1,0
Rolly Duckfield,Targaryen,0,1,0
Rolph Spicer,Lannister,0,1,1
Romny Weaver,Greyjoy,0,1,1
Ronald Storm,None,0,1,0
Ronnel Harclay,Night's Watch,0,1,1
Ronnet Connington,Baratheon,0,1,1
Roose Bolton,Stark,0,1,1
Roose Ryswell,None,0,1,1
Rorge,None,1,1,0
Roslin Frey,None,0,0,1
Rowan,Wildling,1,1,0
Rudge,Night's Watch,0,1,0
Rusty Flowers,Night's Watch,0,1,0
Ryger Rivers,None,0,1,0
Ryk,Wildling,0,1,0
Rupert Brax,House Lannister,1,1,0
Ryman Frey,None,1,1,1
Rymolf Stormdrunk,House Greyjoy,0,1,0
Ryon Allyrion,Martell,0,1,1
Salladhor Saan,Baratheon,0,1,1
Sallor,None,1,1,0
Samwell Tarly,Night's Watch,0,1,1
Sandor Clegane,None,1,1,1
Sawane Botley,Greyjoy,1,1,1
Sansa Stark,Stark,0,0,1
Sarella Sand,House Martell,0,0,0
Sarra Frey,None,0,0,1
Satin,Night's Watch,0,1,0
Sawwood,Night's Watch,0,1,0
Sedgekins,None,0,1,0
Selyse Florent,Baratheon,0,0,1
Senelle,House Lannister,1,0,0
Serra Frey,None,0,0,1
Shadrich,None,0,1,0
Shae,Lannister,1,0,0
Shagga,Lannister,0,1,0
Shagwell,None,1,1,0
Sharna,None,0,0,0
Shireen Baratheon,Baratheon,0,0,1
Shirei Frey,None,0,0,1
Shyra Errol,Baratheon,1,0,1
Sigfry Stonetree,Greyjoy,0,1,1
Skahaz mo Kandaq,None,0,1,1
Skinner,None,0,1,0
Small Paul,Night's Watch,1,1,0
Softfoot,Night's Watch,1,1,0
